question,answer
" ไวรัสโคโรนาสายพันธุ์ใหม่ 2019 คือ ?



","ไวรัสโคโรนาสายพันธุ์ใหม่ 2019 เป็นตระกูลของไวรัสที่ก่อให้อาการป่วยตั้งแต่โรคไข้หวัดธรรมดาไปจนถึงโรคที่มีความรุนแรงมาก เช่น โรคระบบทางเดินหายใจตะวันออกกลาง (MERS-CoV) และโรคระบบทางเดินหายใจเฉียบพลันรุนแรง (SARS-CoV) เป็นต้น ซึ่งเป็นสายพันธุ์ใหม่ที่ไม่เคยพบมาก่อนในมนุษย์ก่อให้เกิดอาการป่วยระบบทางเดินหายใจในคน และสามารถแพร่เชื้อจากคนสู่คนได้ โดยเชื้อไวรัสนี้พบครั้งแรกในการระบาดในเมืองอู่ฮั่น มณฑลหูเป่ย์ สาธารณรัฐประชาชนจีน ในช่วงปลายปี 2019  

"
" ไวรัสโคโรนาสายพันธุ์ใหม่ 2019 เหมือนไวรัสโรคทางเดินหายใจตะวันออกกลางและโรคซาร์สหรือไม่?



","ไม่เหมือน เนื่องจากตระกูลโคโรนาไวรัส เป็นสาเหตุการป่วยในคนและในสัตว์ เช่น อูฐ แมว คางค้าว
ซึ่งไวรัสโคโรนาสายพันธุ์ใหม่ 2019 ไม่เหมือนกับไวรัสโรคทางเดินหายใจตะวันออกกลาง (Middle East Respiratory Syndrome: MERS) หรือ ไวรัสโรคระบบทางเดินหายใจเฉียบพลันรุนแรง (Severe Acute Respiratory Syndrome: SARS) ii


"
" อาการของผู้ป่วยไวรัสโคโรนาสายพันธุ์ใหม่ 2019 มีอาการอย่างไร?



","อาการทั่วไป ได้แก่ อาการระบบทางเดินหายใจ มีไข้ ไอ หายใจถี่ หายใจลำบาก ในกรณีที่อาการรุนแรงมาก อาจทำให้เกิดภาวะแทรกซ้อน เช่น ปอดบวม ปอดออักเสบ ไตวาย หรืออาจเสียชีวิต


"
" ผู้ป่วยไวรัสโคโรนาสายพันธุ์ใหม่ 2019 รักษาอย่างไร?



","การรักษาแบบประคับประคองเพื่อบรรเทาอาการป่วยต่างๆ โดยปัจจุบันยังไม่มีวัคซีนป้องกันโรค


"
" ระยะเวลาการมีชีวิตอยู่ของเชื้อในสิ่งแวดล้อม เช่น บนสิ่งของ อาหาร?



","ยังไม่มีข้อมูลที่ชัดเจนว่าไวรัสโคโรนาสายพันธุ์ใหม่ 2019 อยู่บนพื้นผิวได้นานเพียงใด ขณะที่ข้อมูลเบื้องต้นแสดงให้เห็นว่าไวรัสอาจอยู่รอดได้ในไม่กี่ชั่วโมง โดยน้ำยาฆ่าเชื้อสามารถฆ่าเชื้อไวรัสไม่ให้สามารถแพร่เชื้อได้

"
" ความรุนแรงของเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 เมื่อเทียบกับไวรัสโคโรนาสายพันธุ์อื่นๆ ?



","ผู้ที่ติดเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 มีอาการคล้ายไข้หวัด อาการทางเดินหายใจ เช่น มีไข้ ไอ 
มีน้ำมูก ในผู้ป่วยบางรายอาจมีอาการรุนแรงทำให้เกิดภาวะแทรกซ้อน เช่น ปอดบวม ปอดออักเสบ 
ไตวาย หรืออาจเสียชีวิต แม้ว่าอาการหลายอย่างจะคล้ายคลึง แต่เนื่องจากเกิดจากเชื้อไวรัสที่แตกต่างกัน จึงเป็นเรื่องยากที่จะสามารถระบุโรคตามอาการเพียงอย่างเดียว จึงต้องอาศัยการทดสอบทางห้องปฏิบัติการเพื่อยืนยันเชื้อ



"
" ไวรัสโคโรนาสายพันธุ์ใหม่ 2019 สามารถแพร่กระจายเชื้อได้อย่างไ?



","ไวรัสชนิดนี้มีความเป็นไปได้ที่มีสัตว์เป็นแหล่งรังโรค ส่วนใหญ่แพร่กระจายผ่านการสัมผัสกับผู้ติดเชื้อ ผ่านทางละอองเสมหะจากการไอ จาม น้ำมูก น้ำลาย ปัจจุบันยังไม่มีหลักฐานสนับสนุนการแพร่กระจายเชื้อผ่านทางการพื้นผิวสัมผัสที่มีไวรัสแล้วมาสัมผัส ปาก จมูกและตา สามารถแพร่เชื้อผ่านทาง Fexo-oral route ได้ด้วย   

"
" การซื้อสินค้าหรือสิ่งของที่มาจากสาธารณรัฐประชาชนจีน มีความเสี่ยงต่อการติดเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 หรือไม่?



","ขณะนี้ยังคงมีข้อจำกัดด้านองค์ความรู้เกี่ยวกับเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 และการแพร่กระจายเชื้อ ดังนั้นจึงใช้ข้อมูลวิชาการของเชื้อไวรัสโคโรนาที่มีพันธุกรรมใกล้เคียงกัน ซึ่งพบว่าไวรัสโคโรนามีความสามารถในการมีชีวิตอยู่บนผิวสัมผัสได้ไม่ดี จึงมีความเสี่ยงน้อยมากที่จะแพร่กระจายเชื้อไวรัสจากสินค้าหีบห่อหรือสิ่งของ ปัจจุบันยังไม่มีหลักฐานสนับสนุนการแพร่กระจายเชื้อผ่านทางสินค้านำเข้าจากประเทศจีน และยังไม่พบผู้ป่วยที่มีความสัมพันธ์กับการขนส่งสินค้าแต่อย่างใด 



"
" การนำเข้าสัตว์หรือผลิตภัณฑ์จากสัตว์จากสาธารณรัฐประชาชนจีนมีเสี่ยงต่อการแพร่กระจายเชื้ออย่างไร?



","ขณะนี้ยังไม่มีหลักฐานสนับสนุนการนำเข้าสัตว์หรือผลิตภัณฑ์จากสัตว์จากสาธารณรัฐประชาชนจีนที่อาจจะก่อให้เกิดความเสี่ยงในการแพร่กระจายเชื้อได้



"
" ประชาชนทั่วไปควรป้องกันตนเองอย่างไร?



","หลีกเลี่ยงการสัมผัสใกล้ชิดผู้มีอาการป่วย รักษาระยะห่างอย่างน้อย 1 เมตร หลีกเลี่ยงการสัมผัสบริเวณตา จมูกและปาก โดยไม่ได้ล้างมือ ควรล้างมือบ่อยๆ ด้วยน้ำและสบู่ หรือน้ำยาแอลกอฮอล์ล้างมือ 70% หากมีไข้ ไอ หายใจลำบาก ให้ไปพบแพทย์ทันที และแจ้งประวัติการเดินทาง


"
